source,text,url
twitter,Young folks in India are happy working from their native home &amp; saving cost of rent and getting home food. This is a fantastic short term benefit but the cost of this is very high. Learning being around smarter folks &amp; absorption by osmosis and overhearing has reduced to zero.,https://x.com/kunalb11/status/1432272720729829384
twitter,Elon musk may end up running 4+ 500 billion companies simultaneously at a relatively young age. What I want to really understand: how does he do it? How does he manage context switching? How does he design his Org? So many questions.,https://x.com/kunalb11/status/1359948968747126784
twitter,Debutants in cricket or business have the self confidence and talent that India has never seen before. This is the new India. Unstoppable.,https://x.com/kunalb11/status/1350683534919254020
twitter,Wealthy can give their kids almost everything except the struggle they faced to become who they are today.,https://x.com/kunalb11/status/1460879894317973506
twitter,India’s Population: 138 crore highest selling book in any year: max 1.5 lakh Most top books are motivational. Motivational books are like sports shoes. The joy of buying them makes you feel you’ve solved all your problems. But neither is really used by most except for status.,https://x.com/kunalb11/status/1474316512315985920
twitter,"We as Indians will have 2 choices after this storm is over. Give up hope and leave this nation after all the pain and suffering we went through. Convert all of this pain and suffering as potential energy to fix this nation forever. One choice is easy, other is worthy.",https://x.com/kunalb11/status/1388748460271104001
twitter,"Update: CRED members can now donate CRED coins towards buying oxygen concentrators for hospitals, healthcare orgs across India. With a goal of 1 billion litres, we’ve partnered with Milaap to ensure contributions reach hospitals in need.",https://x.com/kunalb11/status/1386640612246556675
twitter,"Don’t be a prisoner of your résumé. You wrote it to describe your past, not your future.",https://x.com/kunalb11/status/1284754052132122625
youtube,"You feel successful people don't gossip. >> Successful people actually are extraordinary at keeping secrets. They gossip to know information. You will never see a wealthy person who's terrible at keeping secrets. The moment second third generation who's not good at keeping secrets the wealth will go away. Were you good at keeping secrets from childhood? I was good at keeping people's trust. Tweet that you did. Fastest way to be called stupid in life is to have an opinion about power or politics. Why? You will notice that people who talk a lot about politics are usually powerless in life. What is your fear today? >> Fear of the poor. Nobody really wants to hang around with poor people. >> You've also said somewhere most Indians settle for average career. >> What's the truth about discipline and ambitious? Because a lot of people think they're ambitious. >> Most ambitious people will never say they're ambitious. They are just doing stuff, building stuff. They don't write all these tag words on their Twitter or Instagram or LinkedIn. There are many people who are famous for being cringe. You won't respect them. Do you have any insecurity? At times, even when you're doing everything right, something still goes wrong. Like you are all ready for a shoot, but you realize you forgot the mic. Or a teammate needs a document, but there's no one free to go drop it. These problems slow you down. That's why I use Porto. It helps me save time and effort by offering ondemand two-wheer and truck delivery services for all small and big things as per my needs. Their instant pickup and reliable deliveries not only reduce effort but also bring peace of mind. And it doesn't matter if you're a freelancer, a startup or an established company. Pis delivery and our today's guest Kunal Sha founder of cred also agrees with this way of thinking. He doesn't just spot problems before other people. He questions why they exist and how he can fix them. In today's episode, he talks about what is his biggest fear right now. What is he chasing? Fame, power, or money? Can someone build ambition like a skill? Why are we not acceptable of failure as a society? How can a person go from being mediocre to earning a place with an A+ crowd? And why is being a trustworthy person a huge part of success? Watch this episode till the end and tell me in the comments what did you learn from this conversation. Like my first big podcast I was just telling my team. >> Oh is that true? >> First I've done 50 60 episodes. >> Yours was the first and I did it >> and I remember the first line and we put it out in podcast as well. View podcast start. I'm nervous >> and you tell me. >> You remember it was incredible. I I do remember >> but like it's it's like kudos to you man. It is not uh it is absolutely elite athlete level achievement what you've done. Pretty cool man. >> Thank you. It means a lot. >> No no it is it is it is what is this like credit where it's due man. This is this is extraordinary work. >> Thank you so much. >> And and I can tell you it may look easy from outside. I know. Uh it has must have been a nightmare getting to this place. How old are you now? >> I'm 28. >> That's even more commendable, man. Good stuff. >> Thank you. Done. I'm actually happy. I was nervous. I'm a fan more than and more than the kunala. The person I'm fan of kunal sha the person who tweets born and brought up. I'm actually born uh in Ahmedabad. My mom's from here but I've always been here. So my I was like raised >> Bangalore. Bombay. >> No Bombay only. >> Okay. >> Bangalore is only less Indian. >> Yeah. It's just that I never got like good at it. >> Okay. >> Uh I can speak uh it's not that I can't speak Hindi but I know that I will struggle with words. >> You think in English? >> That's a good question. I don't know what language I think in >> but you read and consume everything in English. >> H no I I do consume in multiple languages. It's just that I don't know what language do I think in become a I think it's become a mixture now. Okay. >> Is it work? I don't know. I [ __ ] maybe I don't I don't have conversations with myself when I'm thinking. Okay. >> I'm usually just as a triggers then I go externally.",https://www.youtube.com/watch?v=YIszsqhLGIs
youtube,"person a huge part of success? Watch this episode till the end and tell me in the comments what did you learn from this conversation. Like my first big podcast I was just telling my team. >> Oh is that true? >> First I've done 50 60 episodes. >> Yours was the first and I did it >> and I remember the first line and we put it out in podcast as well. View podcast start. I'm nervous >> and you tell me. >> You remember it was incredible. I I do remember >> but like it's it's like kudos to you man. It is not uh it is absolutely elite athlete level achievement what you've done. Pretty cool man. >> Thank you. It means a lot. >> No no it is it is it is what is this like credit where it's due man. This is this is extraordinary work. >> Thank you so much. >> And and I can tell you it may look easy from outside. I know. Uh it has must have been a nightmare getting to this place. How old are you now? >> I'm 28. >> That's even more commendable, man. Good stuff. >> Thank you. Done. I'm actually happy. I was nervous. I'm a fan more than and more than the kunala. The person I'm fan of kunal sha the person who tweets born and brought up. I'm actually born uh in Ahmedabad. My mom's from here but I've always been here. So my I was like raised >> Bangalore. Bombay. >> No Bombay only. >> Okay. >> Bangalore is only less Indian. >> Yeah. It's just that I never got like good at it. >> Okay. >> Uh I can speak uh it's not that I can't speak Hindi but I know that I will struggle with words. >> You think in English? >> That's a good question. I don't know what language I think in >> but you read and consume everything in English. >> H no I I do consume in multiple languages. It's just that I don't know what language do I think in become a I think it's become a mixture now. Okay. >> Is it work? I don't know. I [ __ ] maybe I don't I don't have conversations with myself when I'm thinking. Okay. >> I'm usually just as a triggers then I go externally. That's a good question. Wow. Maybe I've stopped. Wow. I'm trying to think on which language I'm thinking. I'm not able to. I think it's reached into some kind of a like languageless thinking approach now. It's just more of like triggers and >> I think it's multiple languages. >> Okay. >> Multiple things together. >> Yeah. It's like a full ADHD brain. So it's a little >> Okay. Try to break it down for me. For example, let's say behavior, human behavior, all of these things, right? So you said you get triggers and it triggers something in you like okay what goes on so I think uh step by step actually opinion comes after thinking about for probably months and years. Uh I don't think observe and I get an opinion. I usually I'm observing observing observing observing and pattern and then I see the pattern being a larger pattern about something and then I try to capture it in one sentence so that I can register it as a pattern. >> Right? So example um I I observed historically shameful method is to convert that into pride. >> Okay. Cigarettes used to be back in the day something as a shameful behavior. So they showed mal broman this that pride all of that and then converted that into normalized behavior. Right? If you see uh the the the recent times where we now accepted homosexuality as uh a thing, it went through a moment of first being proud about it, right? And like if you see the the pride parades or whatever are are a method. So you'll notice that anything about human beings that was historically shameful or treated shamefully converted into pride and then became normal. >> So it's an interesting thing that how is this pattern repeats again and again and again. So I always observe these things and say yeah and then I see if it's true. So what I do is then I try to find more examples and now with chat GP I could actually get 10 examples of it and then you're like oh wow like this is again and again and again repeating so what I try to do is find observations see if it's widespread and then capture the essence key >> see because you're talking about observation and shame M >> one thing which is very shameful",https://www.youtube.com/watch?v=YIszsqhLGIs
