source,text,url
twitter,This is new India. This India does not forget. This India does not forgive. 🇮🇳 🫡,https://x.com/rajshamani/status/1919864211494080748
twitter,"The worst feeling isn’t failure. It’s knowing you could be doing something great, but every day you wake up and scroll instead.",https://x.com/rajshamani/status/1925416331282718870
twitter,Your confidence is shaking because your daily life doesn’t match your ambition.,https://x.com/rajshamani/status/1931003146291028139
twitter,Your lack of urgency for success shows your acceptance of mediocrity.,https://x.com/rajshamani/status/1966788956210807103
twitter,"Your brain deletes information you don't use regularly. That's why you lose skills when you stop practising, not because you lost the ability. You didn't lose your talent, you just got lazy.",https://x.com/rajshamani/status/1976513020114411644
twitter,"Your brain needs 23 minutes to fully lock back into focus after being distracted. That's why notifications destroy your entire day. Every time you check your phone, you're throwing away half an hour.",https://x.com/rajshamani/status/1975939242925953249
twitter,Either increase discipline or reduce desire.,https://x.com/rajshamani/status/1947213386066145634
twitter,10 websites that offer FREE certification courses to boost your career growth:,https://x.com/rajshamani/status/1582026699423694848
twitter,Pick a goal. Visualise it. Work for it like a maniac. And believe in it so much that failure doesn’t even cross your mind.,https://x.com/rajshamani/status/1925514480047300798
twitter,“Being ready” is a myth. You start. You suck. You figure it out. You get better.,https://x.com/rajshamani/status/1930912554949157358
